Parent.ID	treatment	sex	Sample.ID
CF01	Control	Female	54F
CF02	Control	Female	53F
CF03	Control	Female	44F
CF04	Control	Female	76F
CF05	Control	Female	16F
CF06	Control	Female	39F
CF07	Control	Female	52F
CF08	Control	Female	19F
CM01	Control	Male	7M
CM02	Control	Male	6M
CM03	Control	Male	<NO MATCH>
CM04	Control	Male	13M
CM05	Control	Male	64M
EF01	Exposed	Female	50F
EF02	Exposed	Female	22F
EF03	Exposed	Female	41F
EF04	Exposed	Female	77F
EF05	Exposed	Female	36F
EF06	Exposed	Female	3F
EF07	Exposed	Female	29F
EF08	Exposed	Female	35F
EM01	Exposed	Male	59M
EM02	Exposed	Male	9M
EM03	Exposed	Male	48M
EM04	Exposed	Male	23M
EM05	Exposed	Male	12M
EM06	Exposed	Male	31M
