Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
15	:	1790127622.224	    43.171	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/CF08-CM05-Larvae_dedup.sorted.bam
14	:	1790127622.218	    46.070	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/CF08-CM04-Larvae_dedup.sorted.bam
1	:	1790127622.138	   178.046	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/CF01-CM01-Zygote_dedup.sorted.bam
21	:	1790127665.406	   395.814	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF04-EM04-Zygote_dedup.sorted.bam
24	:	1790128061.324	   229.024	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF05-EM05-Zygote_dedup.sorted.bam
3	:	1790127622.154	   691.095	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/CF02-CM02-Zygote_dedup.sorted.bam
18	:	1790127622.241	   694.450	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF03-EM03-Zygote_dedup.sorted.bam
13	:	1790127622.212	   702.747	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/CF08-CM03-Zygote_dedup.sorted.bam
12	:	1790127622.207	   733.502	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/CF07-CM02-Zygote_dedup.sorted.bam
11	:	1790127622.199	   784.809	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/CF06-CM02-Larvae_dedup.sorted.bam
4	:	1790127622.159	   808.341	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/CF03-CM03-Zygote_dedup.sorted.bam
17	:	1790127622.235	   817.159	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF02-EM02-Zygote_dedup.sorted.bam
16	:	1790127622.230	   822.848	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF01-EM01-Zygote_dedup.sorted.bam
5	:	1790127622.165	   853.684	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/CF03-CM04-Larvae_dedup.sorted.bam
7	:	1790127622.176	   857.437	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/CF04-CM04-Zygote_dedup.sorted.bam
10	:	1790127622.193	   901.537	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/CF06-CM01-Zygote_dedup.sorted.bam
9	:	1790127622.187	   930.155	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/CF05-CM05-Zygote_dedup.sorted.bam
6	:	1790127622.171	   948.263	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/CF03-CM05-Larvae_dedup.sorted.bam
23	:	1790127800.195	   779.722	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF05-EM01-Larvae_dedup.sorted.bam
20	:	1790127622.254	   994.444	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF03-EM05-Larvae_dedup.sorted.bam
2	:	1790127622.144	  1000.335	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/CF01-CM02-Larvae_dedup.sorted.bam
19	:	1790127622.247	  1003.151	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF03-EM04-Larvae_dedup.sorted.bam
28	:	1790128324.966	   300.895	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF06-EM06-Larvae_dedup.sorted.bam
22	:	1790127668.294	  1014.163	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF04-EM05-Larvae_dedup.sorted.bam
8	:	1790127622.182	  1082.468	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/CF05-CM02-Larvae_dedup.sorted.bam
29	:	1790128355.717	   353.894	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF07-EM01-Zygote_dedup.sorted.bam
27	:	1790128316.698	   708.398	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF06-EM02-Larvae_dedup.sorted.bam
30	:	1790128407.015	   656.829	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF07-EM03-Larvae_dedup.sorted.bam
25	:	1790128290.377	   806.299	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF05-EM06-Larvae_dedup.sorted.bam
32	:	1790128439.399	   665.904	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF08-EM04-Larvae_dedup.sorted.bam
26	:	1790128313.256	   797.852	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF06-EM01-Larvae_dedup.sorted.bam
31	:	1790128430.531	   680.622	0	0	0	0	run_bssnper ../output/02.10-bismark-deduplication/EF08-EM03-Larvae_dedup.sorted.bam
